date,a_close,h_close_hkd,fx_rate,h_close_cny,ah_premium_pct
2018-08-27,5.96,3.5445,0.92,3.26094,0.827693855146062
2018-08-28,5.9,3.5327,0.92,3.250084,0.8153376958872447
2018-08-29,5.9,3.5799,0.92,3.293508,0.7914029660775077
2018-08-30,5.88,3.5799,0.92,3.293508,0.7853304136501262
2018-08-31,5.8,3.4443,0.92,3.168756,0.8303712876598892
2018-09-03,5.82,3.3735,0.92,3.1036200000000003,0.875229570630425
2018-09-04,5.95,3.4148,0.92,3.1416160000000004,0.8939297482569479
2018-09-05,5.92,3.3381,0.92,3.071052,0.927678202778722
2018-09-06,5.95,3.3912,0.92,3.119904,0.9071099623578163
2018-09-07,5.92,3.4207,0.92,3.147044,0.8811303559784991
2018-09-10,5.9,3.4384,0.92,3.1633280000000004,0.8651243247617697
2018-09-11,5.95,3.3853,0.92,3.1144760000000002,0.9104337294620346
2018-09-12,5.97,3.3971,0.92,3.125332,0.9101970606642749
2018-09-13,6.16,3.5666,0.92,3.2812720000000004,0.8773207463447101
2018-09-14,6.25,3.5846,0.92,3.297832,0.8951844727081306
2018-09-17,6.26,3.6026,0.92,3.314392,0.8887325337497798
2018-09-18,6.21,3.6326,0.92,3.3419920000000003,0.8581732092715959
2018-09-19,6.44,3.7047,0.92,3.408324,0.8894917267255109
2018-09-20,6.47,3.6987,0.92,3.402804,0.9013731028880887
2018-09-21,6.42,3.6627,0.92,3.3696840000000003,0.9052231603913006
2018-09-26,6.6,3.7647,0.92,3.463524,0.9055736296327093
2018-09-27,6.64,3.7407,0.92,3.441444,0.9294226493297579
2018-09-28,6.68,3.8068,0.92,3.502256,0.907342010407006
2018-10-08,6.44,3.6747,0.92,3.3807240000000003,0.9049174082238005
2018-10-09,6.72,3.7347,0.92,3.4359240000000004,0.9558057745165489
2018-10-10,6.8,3.7407,0.92,3.441444,0.9759147613618002
2018-10-11,6.44,3.5966,0.92,3.308872,0.946282600233554
2018-10-12,6.49,3.5786,0.92,3.292312,0.9712591030254727
2018-10-15,6.44,3.6026,0.92,3.314392,0.9430411369566427
2018-10-16,6.5,3.6326,0.92,3.3419920000000003,0.9449478035854064
2018-10-18,6.1,3.5786,0.92,3.292312,0.8528013140917385
2018-10-19,6.21,3.5546,0.92,3.2702320000000005,0.8989478422325998
2018-10-22,6.34,3.6206,0.92,3.3309520000000004,0.9033597602126957
2018-10-23,6.21,3.5546,0.92,3.2702320000000005,0.8989478422325998
2018-10-24,6.05,3.4885,0.92,3.20942,0.885075808089935
2018-10-25,6.03,3.3925,0.92,3.1211,0.932011149915094
2018-10-26,6.01,3.3384,0.92,3.0713280000000003,0.9568082601402388
2018-10-29,6.0,3.3504,0.92,3.082368,0.9465553756073251
2018-10-30,6.02,3.3324,0.92,3.065808,0.963593284380496
2018-10-31,6.06,3.4465,0.92,3.17078,0.9112016601593296
2018-11-01,5.98,3.4765,0.92,3.1983800000000002,0.8696965338702718
2018-11-02,6.06,3.4945,0.92,3.21494,0.8849496413618916
2018-11-05,6.04,3.4825,0.92,3.2039,0.8852024095633446
2018-11-06,6.09,3.5606,0.92,3.275752,0.8591150978462347
2018-11-07,5.97,3.5846,0.92,3.297832,0.8102802083308063
2018-11-08,6.0,3.6326,0.92,3.3419920000000003,0.7953364340788367
2018-11-09,5.9,3.5486,0.92,3.2647120000000003,0.8072038207351828
2018-11-12,5.92,3.5786,0.92,3.292312,0.7981284884300153
2018-11-13,5.87,3.5306,0.92,3.248152,0.8071814373218986
2018-11-14,5.71,3.4045,0.92,3.13214,0.8230347302483285
2018-11-15,5.74,3.4225,0.92,3.1487,0.8229745609299077
2018-11-16,5.73,3.4105,0.92,3.13766,0.8262016917065587
2018-11-19,5.77,3.4045,0.92,3.13214,0.8421909620898169
2018-11-20,5.71,3.3264,0.92,3.0602880000000003,0.8658374636635504
2018-11-21,5.62,3.2604,0.92,2.9995680000000005,0.8736031321843676
2018-11-22,5.63,3.2544,0.92,2.9940480000000003,0.880397375058783
2018-11-23,5.57,3.2303,0.92,2.9718760000000004,0.8742370139265567
2018-11-26,5.54,3.1823,0.92,2.927716,0.8922600416160582
2018-11-27,5.51,3.2003,0.92,2.944276,0.8714278145119547
2018-11-28,5.55,3.2424,0.92,2.983008,0.8605380877288964
2018-11-29,5.51,3.2604,0.92,2.9995680000000005,0.8369311847572714
2018-11-30,5.55,3.2964,0.92,3.0326880000000003,0.8300596698374509
2018-12-03,5.63,3.4225,0.92,3.1487,0.7880395083685332
2018-12-04,5.63,3.4045,0.92,3.13214,0.7974930877930104
2018-12-05,5.59,3.3324,0.92,3.065808,0.8233366212104605
2018-12-06,5.54,3.2604,0.92,2.9995680000000005,0.8469326249646614
2018-12-07,5.52,3.1883,0.92,2.933236,0.8818806260389549
