date,a_close,h_close_hkd,fx_rate,h_close_cny,ah_premium_pct
2019-05-27,5.23,7.0325,0.92,6.4699,-0.19164129275568398
2019-05-28,5.23,6.9892,0.92,6.430064000000001,-0.1866332901196629
2019-05-29,5.21,6.9784,0.92,6.420128,-0.1884896998938339
2019-05-30,5.24,7.0541,0.92,6.489772,-0.19257564056179477
2019-05-31,5.21,6.9028,0.92,6.350576,-0.17960197626168084
2019-06-03,5.2,6.8704,0.92,6.320768,-0.17731516170186912
2019-06-04,5.17,6.892,0.92,6.3406400000000005,-0.18462489590956122
2019-06-05,5.17,6.9032,0.92,6.350944,-0.18594778980888516
2019-06-06,5.12,6.7805,0.92,6.23806,-0.17923200482201196
2019-06-10,5.14,7.1151,0.92,6.545892,-0.21477470144634225
2019-06-11,5.18,7.0705,0.92,6.50486,-0.20367233114932526
2019-06-12,5.15,6.9366,0.92,6.381672000000001,-0.19300145792513312
2019-06-13,5.15,6.8697,0.92,6.320124,-0.18514256998755085
2019-06-14,5.1,6.8809,0.92,6.3304279999999995,-0.19436726869020549
2019-06-17,5.11,6.9812,0.92,6.422704,-0.20438494440970656
2019-06-18,5.05,6.9812,0.92,6.422704,-0.21372680416223455
2019-06-19,5.06,7.26,0.92,6.6792,-0.24242424242424243
2019-06-20,5.09,7.327,0.92,6.74084,-0.24490122892695876
2019-06-21,5.12,7.5165,0.92,6.91518,-0.25959989472436007
2019-06-24,5.11,7.5054,0.92,6.904968,-0.25995312360607603
2019-06-25,5.07,7.3939,0.92,6.8023880000000005,-0.25467350583353965
2019-06-26,5.09,7.405,0.92,6.812600000000001,-0.2528550039632447
2019-06-27,5.09,7.5054,0.92,6.904968,-0.26284958887571963
2019-06-28,5.08,7.4496,0.92,6.853632,-0.25878716569550275
2019-07-02,5.1,7.5946,0.92,6.987032,-0.2700763357030568
2019-07-03,5.08,7.4942,0.92,6.894664000000001,-0.2631983226448744
2019-07-04,5.09,7.4385,0.92,6.843420000000001,-0.256219843294727
2019-07-05,5.06,7.4385,0.92,6.843420000000001,-0.2606036163204949
2019-07-08,4.98,7.2823,0.92,6.6997160000000004,-0.25668491022604534
2019-07-09,4.95,7.2266,0.92,6.648472000000001,-0.2554680233292703
2019-07-10,4.92,7.327,0.92,6.74084,-0.27012063778401507
2019-07-11,4.92,7.5054,0.92,6.904968,-0.28746954366768973
2019-07-12,4.92,7.5054,0.92,6.904968,-0.28746954366768973
2019-07-15,4.9,7.5388,0.92,6.935696,-0.29350998082960955
2019-07-16,4.89,7.4831,0.92,6.8844520000000005,-0.2897038137530773
2019-07-17,4.87,7.3493,0.92,6.761356000000001,-0.2797302789558782
2019-07-18,4.82,7.182,0.92,6.60744,-0.2705192934025886
2019-07-19,4.84,7.3158,0.92,6.730536000000001,-0.28088936750356885
2019-07-22,4.76,7.3158,0.92,6.730536000000001,-0.2927754936605347
2019-07-23,4.76,7.3939,0.92,6.8023880000000005,-0.3002457372322779
2019-07-24,4.78,7.327,0.92,6.74084,-0.29088956272512034
2019-07-25,4.78,7.3939,0.92,6.8023880000000005,-0.297305593271069
2019-07-26,4.83,7.3381,0.92,6.7510520000000005,-0.2845559477248879
2019-07-29,4.83,7.2712,0.92,6.689504,-0.2779733744086258
2019-07-30,4.83,7.3158,0.92,6.730536000000001,-0.28237513327318964
2019-07-31,4.81,7.2154,0.92,6.638168,-0.27540249056667454
2019-08-01,4.77,7.1485,0.92,6.57662,-0.2747034190815344
2019-08-02,4.67,6.892,0.92,6.3406400000000005,-0.2634812889550582
2019-08-05,4.61,6.6801,0.92,6.145692,-0.24988105489178436
2019-08-06,4.55,6.7247,0.92,6.186724000000001,-0.26455422934658157
2019-08-07,4.58,6.6578,0.92,6.125176000000001,-0.2522663838557456
2019-08-08,4.56,6.6355,0.92,6.104660000000001,-0.25302965275707423
2019-08-09,4.56,6.5686,0.92,6.043112,-0.24542189520895863
2019-08-12,4.57,6.524,0.92,6.00208,-0.2385972862740916
2019-08-13,4.53,6.3902,0.92,5.878984,-0.2294586955841349
2019-08-14,4.53,6.4013,0.92,5.889196,-0.2307948317563212
2019-08-15,4.5,6.3233,0.92,5.817436,-0.22646334226968712
2019-08-16,4.5,6.3456,0.92,5.8379520000000005,-0.22918174044596462
2019-08-19,4.56,6.3902,0.92,5.878984,-0.22435577303833454
2019-08-20,4.57,6.4794,0.92,5.961048,-0.23335628231814265
2019-08-21,4.56,6.4682,0.92,5.950744,-0.23370926391725144
