date,capital,spread,zscore,cheap_leg,position,gross_exposure,returns
2019-08-29,100167.98784320001,0.03632500793047466,-0.09596420738800251,a,flat,0.0,0.0
2019-08-30,100167.98784320001,-0.0027180825089880845,-0.8739146674938512,a,flat,0.0,0.0
2019-09-02,100167.98784320001,0.013842540744782417,-0.5217945891228581,a,flat,0.0,0.0
2019-09-03,100167.98784320001,0.02025777003074447,-0.37380606175164877,a,flat,0.0,0.0
2019-09-04,100167.98784320001,0.005465254129874086,-0.6838020099376455,a,flat,0.0,0.0
2019-09-05,100167.98784320001,0.004999195441179882,-0.6822628900742224,a,flat,0.0,0.0
2019-09-06,100167.98784320001,-0.0017448893423368528,-0.8247834800843804,a,flat,0.0,0.0
2019-09-09,100167.98784320001,0.007650726344862413,-0.5973476023350998,a,flat,0.0,0.0
2019-09-10,100167.98784320001,0.002357265528068808,-0.7119261903649501,a,flat,0.0,0.0
2019-09-11,100167.98784320001,-0.010024036808123027,-0.9954422314161107,a,flat,0.0,0.0
2019-09-12,100167.98784320001,-0.01301236767739744,-1.0506730030788005,a,flat,0.0,0.0
2019-09-16,100167.98784320001,-0.03802015857809704,-1.6339382003474743,a,flat,0.0,0.0
2019-09-17,100072.23551360001,-0.05574759569197907,-2.0309195530389186,a,long_a_short_h,94375.5648,-0.000955917470857881
2019-09-18,99906.8031136,-0.058990030646671965,-2.0737671362789722,a,long_a_short_h,93014.9972,-0.001653129853160129
2019-09-19,100456.91391360002,-0.04817818396378515,-1.7840028093147118,a,long_a_short_h,92900.88640000002,0.005506239643905841
2019-09-20,100674.9139136,-0.043922858393646846,-1.653050507276693,a,long_a_short_h,93118.8864,0.0021700845816094994
2019-09-23,101097.40711360001,-0.035475713440530354,-1.430979118479931,a,long_a_short_h,92478.39319999999,0.00419660850529846
2019-09-24,100613.3707136,-0.04504906876540549,-1.6371440826510295,a,long_a_short_h,92526.4296,-0.004787822099691641
2019-09-25,100472.2463136,-0.04762298692389266,-1.6640953811637325,a,long_a_short_h,90923.554,-0.0014026406132612301
2019-09-26,100301.7031136,-0.05096407022813243,-1.7070917574749396,a,long_a_short_h,90222.09719999999,-0.0016974160154406004
2019-09-27,101208.23271360001,-0.03235703589303762,-1.2375455681423233,a,long_a_short_h,89533.56760000001,0.009038027988151898
2019-09-30,101862.23271360001,-0.01931337270100819,-0.9114423785527312,a,long_a_short_h,90187.56760000001,0.006461924909317407
2019-10-08,102602.75031360002,-0.002843717457517103,-0.5086972160211037,a,long_a_short_h,88139.05,0.007269795490170372
2019-10-09,102673.72588640002,0.0007178563563146056,-0.41342119126117854,a,flat,0.0,0.000691751172196442
2019-10-10,102673.72588640002,-0.004364886112261601,-0.5231770305007838,a,flat,0.0,0.0
2019-10-11,102673.72588640002,-0.029154865775305572,-1.1024006300133613,a,flat,0.0,0.0
2019-10-14,102673.72588640002,-0.025813937304101753,-1.0062512741588114,a,flat,0.0,0.0
2019-10-15,102673.72588640002,-0.02263599196953181,-0.9158504731007157,a,flat,0.0,0.0
2019-10-16,102673.72588640002,-0.02980936561473535,-1.0694055324217908,a,flat,0.0,0.0
2019-10-17,102673.72588640002,-0.03098219904291888,-1.0793639004010473,a,flat,0.0,0.0
2019-10-18,102673.72588640002,-0.03561090513997023,-1.1695666167319243,a,flat,0.0,0.0
2019-10-21,102673.72588640002,-0.04391514685759179,-1.3413958896953044,a,flat,0.0,0.0
2019-10-22,102673.72588640002,-0.037568391895775655,-1.1718367694504062,a,flat,0.0,0.0
2019-10-23,102673.72588640002,-0.03921474007142156,-1.1897466846133327,a,flat,0.0,0.0
2019-10-24,102673.72588640002,-0.048024210782013244,-1.3700645579237687,a,flat,0.0,0.0
2019-10-25,102673.72588640002,-0.0493973211536507,-1.3761603651015186,a,flat,0.0,0.0
2019-10-28,102673.72588640002,-0.054000096127342356,-1.4544702151896292,a,flat,0.0,0.0
2019-10-29,102673.72588640002,-0.05382210713400637,-1.4233220932492259,a,flat,0.0,0.0
2019-10-30,102673.72588640002,-0.048944436009435544,-1.291721399595787,a,flat,0.0,0.0
2019-10-31,102673.72588640002,-0.05633970498105545,-1.4310381032925557,a,flat,0.0,0.0
2019-11-01,102673.72588640002,-0.07026569987493536,-1.71144756481999,a,flat,0.0,0.0
2019-11-04,102575.18108640001,-0.09072402059296603,-2.1091128833252064,a,long_a_short_h,97188.40000000002,-0.000959785954481096
2019-11-05,101764.03708640001,-0.10578577936875799,-2.3640810924805304,a,long_a_short_h,98241.54400000001,-0.007907799834316331
2019-11-06,101423.29948640002,-0.11225723984154046,-2.4272005158799708,a,long_a_short_h,97614.28159999999,-0.003348310559954437
2019-11-07,100966.09308640001,-0.12080732119397442,-2.5278719195869437,a,long_a_short_h,97587.488,-0.004507903039195793
2019-11-08,100150.41788640001,-0.13588757728193657,-2.7429476142764573,a,long_a_short_h,97919.16320000001,-0.008078704197279407
2019-11-11,100423.97468640002,-0.13179917122844964,-2.5752151128083995,a,long_a_short_h,95467.6064,0.0027314593965079847
2019-11-12,99702.50588640002,-0.14557557446225333,-2.743558165871056,a,long_a_short_h,95463.07519999999,-0.0071842286889458595
2019-11-13,100172.91228640002,-0.1373316857766056,-2.500438278887436,a,long_a_short_h,93782.6688,0.0047181000699820785
2019-11-14,101037.64348640002,-0.12055408843978688,-2.1222912379965884,a,long_a_short_h,93643.9376,0.008632385544783627
2019-11-15,100212.90588640001,-0.1370723754408889,-2.3624852749599876,a,long_a_short_h,92532.67520000001,-0.008162676518786993
2019-11-18,100025.1186864,-0.1404687433040146,-2.3548502740281076,a,long_a_short_h,93204.4624,-0.0018738823940788185
2019-11-19,100289.38108640001,-0.13530926297603663,-2.20712202186684,a,long_a_short_h,93182.19999999998,0.0026419603742589004
2019-11-20,100813.37468640001,-0.12527275283580486,-1.9832422544073314,a,long_a_short_h,92416.2064,0.005224816369627128
2019-11-21,102113.04988640001,-0.09961162082835973,-1.501793248929233,a,long_a_short_h,92568.53120000001,0.012891892608921207
2019-11-22,101468.05628640002,-0.11223586464354796,-1.7018956723978085,a,long_a_short_h,93213.52480000001,-0.00631646592396895
2019-11-25,102125.05702400001,-0.09749235687095781,-1.4178253604501971,a,flat,0.0,0.006474951444280785
2019-11-26,102125.05702400001,-0.1041308515767263,-1.5161356170421536,a,flat,0.0,0.0
2019-11-27,102125.05702400001,-0.10690419105330418,-1.5485569076215002,a,flat,0.0,0.0
2019-11-28,102125.05702400001,-0.10146148245022868,-1.4347682148973553,a,flat,0.0,0.0
2019-11-29,102125.05702400001,-0.0790560349449354,-1.0086220925770841,a,flat,0.0,0.0
2019-12-02,102125.05702400001,-0.08385220720842845,-1.0865953599229154,a,flat,0.0,0.0
2019-12-03,102125.05702400001,-0.08000373074323819,-1.0034773907779586,a,flat,0.0,0.0
